ED,Median earned income per commuter travelling less than 30 minutes (Euro) by Electoral Division and Year,Median earned income per commuter travelling greater than 30 minutes,"Agriculture, Forestry and Fishing (A) (%)",Construction (F) (%),"Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)",Proportion of households working age social welfare was majority of household income (%) by Electoral Division and Year
"003 Bohernabreena, South Dublin",31940.00,36040.00,0.70,7.00,16.00,15.40,10.80,24.30,25.70,11.20
"004 Clondalkin-Ballymount, South Dublin",30678.00,35232.00,NA,8.20,17.40,17.30,9.50,21.90,25.70,10.40
"005 Clondalkin-Cappaghmore, South Dublin",23671.00,25873.00,NA,4.40,15.70,10.60,7.70,32.20,29.30,37.60
"006 Clondalkin-Dunawley, South Dublin",25815.00,28902.00,0.20,5.40,17.40,11.00,10.30,24.40,31.30,24.80
"007 Clondalkin-Monastery, South Dublin",29163.00,32004.00,0.20,5.10,19.00,13.50,11.60,22.90,27.60,12.40
"008 Clondalkin-Moorfield, South Dublin",25556.00,28059.00,0.30,6.10,18.60,10.40,9.50,25.30,29.80,23.50
"009 Clondalkin-Rowlagh, South Dublin",23684.00,28225.00,NA,8.80,15.60,10.20,8.60,24.20,32.50,27.60
"010 Clondalkin Village, South Dublin",30334.00,33526.00,0.20,5.20,18.30,14.70,10.90,24.10,26.60,13.60
"011 Edmondstown, South Dublin",34477.00,43201.00,0.30,4.00,20.60,21.10,5.10,27.80,21.00,13.00
"012 Firhouse-Ballycullen, South Dublin",41659.00,48750.00,0.30,3.60,23.70,22.30,6.60,25.20,18.40,4.20
"013 Firhouse-Knocklyon, South Dublin",41215.00,41627.00,0.50,3.50,22.40,22.20,6.70,29.50,15.30,2.80
"014 Firhouse Village, South Dublin",37100.00,42417.00,0.20,5.00,21.00,19.30,6.40,28.60,19.50,8.30
"015 Lucan-Esker, South Dublin",35794.00,41181.00,0.10,4.70,18.00,16.40,8.80,31.10,21.00,9.60
"016 Lucan Heights, South Dublin",34744.00,40632.00,0.20,4.30,17.60,16.50,8.40,35.40,17.50,8.20
"017 Lucan-St. Helen's, South Dublin",34910.00,38251.00,0.20,3.80,17.50,16.60,8.20,32.40,21.40,8.90
"018 Newcastle, South Dublin",34320.00,39541.00,1.00,5.40,16.90,14.70,10.20,25.20,26.60,8.20
"019 Palmerston Village, South Dublin",35269.00,35679.00,0.20,5.30,14.80,12.90,8.80,34.80,23.30,7.30
"020 Palmerston West, South Dublin",29196.00,32683.00,0.30,5.20,15.30,13.30,8.60,30.70,26.60,17.20
"021 Rathcoole, South Dublin",33889.00,40150.00,0.50,5.90,18.60,16.90,9.00,24.80,24.40,7.50
"022 Rathfarnham-Ballyroan, South Dublin",47546.00,55544.00,0.60,4.20,21.10,20.60,7.50,31.20,14.90,1.50
"023 Rathfarnham-Butterfield, South Dublin",49382.00,47811.00,NA,3.00,24.20,25.00,6.50,27.60,13.70,2.00
"024 Rathfarnham-Hermitage, South Dublin",44153.00,48741.00,0.20,2.20,23.50,25.40,5.30,29.40,14.00,3.40
"025 Rathfarnham-St. Enda's, South Dublin",40428.00,45170.00,0.30,2.90,22.40,22.60,5.90,32.40,13.50,4.90
"026 Rathfarnham Village, South Dublin",44987.00,55202.00,0.30,3.00,20.20,27.00,6.20,28.60,14.60,4.40
"027 Saggart, South Dublin",35120.00,36859.00,0.60,6.10,17.00,22.20,9.70,19.20,25.30,12.80
"028 Tallaght-Avonbeg, South Dublin",26500.00,25959.00,NA,6.20,14.40,10.90,8.20,27.70,32.70,21.80
"029 Tallaght-Belgard, South Dublin",29762.00,31879.00,NA,5.60,19.50,15.90,8.80,24.70,25.50,8.70
"030 Tallaght-Fettercairn, South Dublin",24225.00,27978.00,0.30,4.90,19.10,12.50,7.90,25.10,30.20,34.50
"031 Tallaght-Glenview, South Dublin",29102.00,32741.00,NA,4.30,18.10,16.40,8.90,22.00,30.30,12.50
"032 Tallaght-Jobstown, South Dublin",27791.00,32924.00,0.20,5.90,18.70,16.50,8.40,23.40,26.90,27.80
"033 Tallaght-Killinardan, South Dublin",21900.00,24148.00,0.10,11.90,18.70,9.90,7.70,19.50,32.20,32.90
"034 Tallaght-Kilnamanagh, South Dublin",31272.00,34663.00,0.40,7.30,16.10,13.70,10.00,26.20,26.30,8.20
"035 Tallaght-Kiltipper, South Dublin",28505.00,32119.00,0.30,6.30,17.70,12.80,8.60,28.00,26.30,22.70
"036 Tallaght-Kingswood, South Dublin",29185.00,33349.00,0.30,5.80,19.20,15.30,10.10,25.70,23.50,11.20
"037 Tallaght-Millbrook, South Dublin",28689.00,31842.00,NA,6.90,16.70,13.00,10.90,26.80,25.70,11.10
"038 Tallaght-Oldbawn, South Dublin",31257.00,31707.00,0.40,6.40,17.40,14.90,11.70,26.80,22.40,10.20
"039 Tallaght-Springfield, South Dublin",26270.00,27780.00,0.10,4.40,21.00,13.70,9.10,26.20,25.50,19.60
"040 Tallaght-Tymon, South Dublin",28770.00,29869.00,0.40,6.20,17.10,14.50,9.80,23.90,28.10,17.00
"041 Templeogue-Cypress, South Dublin",42330.00,43997.00,0.40,3.30,24.10,22.90,7.40,28.90,13.00,2.40
"042 Templeogue-Kimmage Manor, South Dublin",50341.00,53973.00,0.30,3.10,25.30,26.20,5.20,28.30,11.70,2.40
"043 Templeogue-Limekiln, South Dublin",35189.00,37618.00,0.40,5.50,19.80,17.10,8.30,28.40,20.60,5.50
"044 Templeogue-Orwell, South Dublin",43453.00,47487.00,0.50,4.60,21.80,21.40,7.20,27.30,17.00,1.70
"045 Templeogue-Osprey, South Dublin",38416.00,41476.00,NA,5.50,20.90,17.50,6.90,34.40,14.60,3.80
"046 Templeogue Village, South Dublin",58154.00,49426.00,0.10,3.30,23.10,24.10,6.30,29.20,13.80,1.40
"047 Terenure-Cherryfield, South Dublin",36404.00,34846.00,NA,5.10,19.70,18.10,8.90,29.30,18.90,9.40
"048 Terenure-Greentrees, South Dublin",39771.00,40486.00,0.70,5.20,22.10,19.60,6.80,29.90,15.70,4.50
"049 Terenure-St. James, South Dublin",32280.00,35875.00,NA,5.90,17.90,16.00,9.00,28.50,22.80,6.10
"001 Airport, Fingal",31063.00,33909.00,NA,1.80,20.30,19.40,5.20,27.00,26.30,12.30
"002 Balbriggan Rural, Fingal",27005.00,37868.00,0.60,4.10,19.10,12.30,7.90,27.40,28.60,21.60
"003 Balbriggan Urban, Fingal",26543.00,38306.00,0.50,4.50,18.00,11.30,9.70,29.90,26.10,17.70
"004 Baldoyle, Fingal",32706.00,42782.00,0.20,3.50,22.60,22.10,6.70,25.70,19.10,8.90
"005 Balgriffin, Fingal",35751.00,49378.00,0.90,3.40,24.40,22.50,7.10,19.70,22.00,7.40
"006 Ballyboghil, Fingal",33997.00,46697.00,4.30,3.80,16.80,12.50,8.60,26.10,27.90,6.30
"007 Balscadden, Fingal",31710.00,40441.00,3.40,7.80,16.00,14.70,11.40,26.80,19.90,12.80
"008 Blanchardstown-Abbotstown, Fingal",36878.00,41571.00,0.30,2.10,18.50,23.20,6.30,33.10,16.60,11.80
"009 Blanchardstown-Blakestown, Fingal",31037.00,37822.00,0.10,5.90,18.90,16.60,7.50,28.00,22.90,12.60
"010 Blanchardstown-Coolmine, Fingal",27162.00,35214.00,0.30,4.70,19.50,17.20,6.40,29.40,22.50,18.60
"011 Blanchardstown-Corduff, Fingal",23807.00,29237.00,0.60,6.20,17.40,12.30,5.00,30.10,28.40,20.60
"012 Blanchardstown-Delwood, Fingal",33766.00,39832.00,0.30,3.20,22.20,20.20,6.20,30.40,17.60,6.90
"013 Blanchardstown-Mulhuddart, Fingal",25880.00,31302.00,0.60,5.90,18.70,12.30,6.20,30.00,26.40,28.40
"014 Blanchardstown-Roselawn, Fingal",32915.00,43784.00,1.10,4.20,20.10,15.40,6.40,38.00,14.90,7.70
"015 Blanchardstown-Tyrrelstown, Fingal",21939.00,25586.00,NA,6.70,22.60,11.40,8.10,21.40,29.70,36.40
"016 Castleknock-Knockmaroon, Fingal",41605.00,49725.00,0.10,3.20,22.00,22.80,6.60,29.70,15.70,5.30
"017 Castleknock-Park, Fingal",49776.00,51722.00,0.30,2.10,21.40,28.10,6.50,28.80,12.80,2.80
"018 Clonmethan, Fingal",32257.00,34201.00,5.50,7.00,19.80,12.00,8.70,20.70,26.30,10.00
"019 Donabate, Fingal",36812.00,47388.00,0.30,3.30,20.00,18.00,6.50,30.20,21.60,8.10
"020 Dubber, Fingal",30405.00,33275.00,0.50,3.10,19.80,12.20,7.70,29.60,27.00,16.80
"021 Garristown, Fingal",26574.00,44777.00,6.90,7.40,16.10,14.10,8.20,20.70,26.50,7.20
"022 Hollywood, Fingal",28454.00,47975.00,6.10,5.20,17.40,14.30,7.40,26.40,23.20,6.20
"023 Holmpatrick, Fingal",34221.00,45809.00,1.70,4.20,21.40,19.10,5.60,29.10,19.00,4.70
"024 Howth, Fingal",35020.00,53419.00,0.40,2.40,23.50,27.10,4.40,23.90,18.20,3.00
"025 Kilsallaghan, Fingal",28568.00,44473.00,2.50,4.80,15.80,17.90,8.40,24.30,26.20,8.60
"026 Kinsaley, Fingal",32203.00,42434.00,0.40,3.70,20.60,17.40,7.10,24.10,26.70,8.10
"027 Lucan North, Fingal",51200.00,61680.00,1.50,4.80,21.10,21.80,8.90,22.50,19.30,2.70
"028 Lusk, Fingal",30606.00,42485.00,1.40,4.60,18.90,17.00,7.10,25.60,25.30,9.60
"029 Malahide East, Fingal",39030.00,56036.00,0.10,2.00,25.90,26.40,6.30,20.10,19.20,3.70
"030 Malahide West, Fingal",40478.00,53038.00,NA,2.70,23.00,23.00,6.60,25.70,18.90,2.70
"031 Portmarnock North, Fingal",33155.00,49482.00,0.30,3.40,24.80,20.50,5.70,26.10,19.20,2.70
"032 Portmarnock South, Fingal",35056.00,49652.00,0.10,2.10,25.40,23.70,6.30,24.70,17.50,3.60
"033 Rush, Fingal",26364.00,41387.00,2.40,3.70,20.40,15.60,6.50,24.00,27.40,11.10
"034 Skerries, Fingal",29562.00,49047.00,0.50,2.50,20.80,21.20,6.00,28.30,20.50,9.70
"035 Sutton, Fingal",38298.00,49088.00,0.30,2.30,24.10,22.10,4.30,29.90,17.10,4.30
"036 Swords-Forrest, Fingal",31104.00,41331.00,0.20,3.20,21.80,14.60,6.50,24.70,29.10,6.60
"037 Swords-Glasmore, Fingal",27134.00,37440.00,0.50,4.20,18.30,12.00,8.30,24.00,32.70,9.70
"038 Swords-Lissenhall, Fingal",29060.00,41399.00,0.60,3.80,21.90,16.40,7.00,21.40,29.00,11.60
"039 Swords-Seatown, Fingal",32716.00,49387.00,0.20,2.70,21.10,20.10,6.20,24.50,25.20,5.50
"040 Swords Village, Fingal",28106.00,33361.00,NA,3.70,26.20,12.20,5.50,23.00,29.40,8.30
"041 The Ward, Fingal",30915.00,39293.00,0.40,4.10,18.80,18.80,6.80,26.50,24.60,13.20
"042 Turnapin, Fingal",32141.00,36026.00,0.70,4.20,18.40,16.60,4.50,30.90,24.70,8.30
"001 Ballinteer-Broadford, Dún Laoghaire-Rathdown",34988.00,42721.00,0.40,4.00,23.50,20.80,4.90,29.90,16.50,3.50
"002 Ballinteer-Ludford, Dún Laoghaire-Rathdown",39266.00,48000.00,NA,3.90,20.40,26.60,6.90,26.70,15.40,2.60
"003 Ballinteer-Marley, Dún Laoghaire-Rathdown",39759.00,48226.00,0.50,3.30,20.80,23.10,5.60,30.70,16.00,4.00
"004 Ballinteer-Meadowbroads, Dún Laoghaire-Rathdown",45960.00,52224.00,NA,2.30,24.00,29.10,3.60,26.90,14.10,2.20
"005 Ballinteer-Meadowmount, Dún Laoghaire-Rathdown",32000.00,39871.00,NA,2.30,19.80,20.90,5.40,29.70,21.90,11.40
"006 Ballinteer-Woodpark, Dún Laoghaire-Rathdown",45022.00,51442.00,0.30,2.50,23.50,28.50,6.90,24.00,14.30,4.30
"007 Ballybrack, Dún Laoghaire-Rathdown",31700.00,46310.00,0.40,3.20,22.00,24.40,6.50,24.30,19.20,5.30
"008 Blackrock-Booterstown, Dún Laoghaire-Rathdown",50880.00,51248.00,0.30,1.20,25.40,31.50,3.90,27.70,10.10,2.40
"009 Blackrock-Carysfort, Dún Laoghaire-Rathdown",48725.00,52734.00,0.20,1.00,25.00,32.50,3.70,26.20,11.30,2.60
"010 Blackrock-Central, Dún Laoghaire-Rathdown",54461.00,60991.00,0.20,1.10,23.10,34.20,4.40,27.80,9.10,2.40
"011 Blackrock-Glenomena, Dún Laoghaire-Rathdown",53489.00,59958.00,0.50,1.40,26.70,27.50,3.10,30.80,10.00,1.80
"012 Blackrock-Monkstown, Dún Laoghaire-Rathdown",44432.00,55695.00,0.40,2.10,26.20,29.40,4.30,27.50,10.20,2.80
"013 Blackrock-Newpark, Dún Laoghaire-Rathdown",44623.00,47975.00,NA,1.70,24.30,29.10,4.50,30.80,9.60,4.40
"014 Blackrock-Seapoint, Dún Laoghaire-Rathdown",60831.00,64084.00,NA,1.50,16.10,35.30,3.40,33.50,10.20,5.00
"015 Blackrock-Stradbrook, Dún Laoghaire-Rathdown",37378.00,51683.00,0.10,2.30,22.50,25.50,7.40,26.50,15.70,5.70
"016 Blackrock-Templehill, Dún Laoghaire-Rathdown",44010.00,48296.00,0.50,0.90,22.80,32.90,3.80,27.60,11.50,10.00
"017 Blackrock-Williamstown, Dún Laoghaire-Rathdown",50139.00,53537.00,0.50,1.20,23.00,30.40,3.00,31.50,10.40,3.20
"018 Cabinteely-Granitefield, Dún Laoghaire-Rathdown",34754.00,47569.00,NA,3.00,18.80,25.70,8.00,25.50,19.00,6.30
"019 Cabinteely-Kilbogget, Dún Laoghaire-Rathdown",31060.00,41882.00,0.10,3.50,21.60,23.90,7.20,24.40,19.40,8.70
"020 Cabinteely-Loughlinstown, Dún Laoghaire-Rathdown",36325.00,43565.00,0.40,1.60,29.00,29.00,4.80,19.40,15.80,6.90
"021 Cabinteely-Pottery, Dún Laoghaire-Rathdown",35450.00,49594.00,0.20,2.60,26.00,22.80,5.50,26.30,16.60,4.40
"022 Churchtown-Castle, Dún Laoghaire-Rathdown",43410.00,48615.00,0.70,4.50,24.70,26.60,5.70,23.10,14.80,9.10
"023 Churchtown-Landscape, Dún Laoghaire-Rathdown",51040.00,55025.00,0.40,2.70,23.90,30.30,3.90,27.10,11.60,3.00
"024 Churchtown-Nutgrove, Dún Laoghaire-Rathdown",33433.00,39438.00,0.50,5.00,20.10,21.20,5.60,28.70,18.90,10.50
"025 Churchtown-Orwell, Dún Laoghaire-Rathdown",51532.00,56274.00,0.60,3.00,24.40,25.60,4.50,30.40,11.60,3.50
"026 Churchtown-Woodlawn, Dún Laoghaire-Rathdown",49875.00,58762.00,NA,1.60,23.10,30.60,4.50,27.50,12.80,3.50
"027 Clonskeagh-Belfield, Dún Laoghaire-Rathdown",52526.00,47511.00,1.30,2.60,22.70,26.50,3.30,30.00,13.50,2.00
"028 Clonskeagh-Farranboley, Dún Laoghaire-Rathdown",40062.00,45767.00,0.60,3.40,21.90,29.50,4.40,26.10,14.10,9.80
"029 Clonskeagh-Milltown, Dún Laoghaire-Rathdown",62627.00,62665.00,0.40,2.60,24.70,32.10,4.00,24.60,11.50,1.90
"030 Clonskeagh-Roebuck, Dún Laoghaire-Rathdown",52743.00,49711.00,0.30,1.80,26.00,31.50,3.10,26.20,11.10,4.10
"031 Clonskeagh-Windy Arbour, Dún Laoghaire-Rathdown",45514.00,49946.00,0.40,1.70,25.70,31.10,3.30,28.40,9.50,4.90
"032 Dalkey-Avondale, Dún Laoghaire-Rathdown",44639.00,54764.00,0.30,2.80,22.70,26.10,9.30,22.70,16.10,1.40
"033 Dalkey-Bullock, Dún Laoghaire-Rathdown",37561.00,60000.00,NA,1.70,23.90,33.10,2.40,27.40,11.40,3.40
"034 Dalkey-Coliemore, Dún Laoghaire-Rathdown",38538.00,61204.00,0.40,3.40,23.90,33.70,4.20,23.10,11.40,7.10
"035 Dalkey Hill, Dún Laoghaire-Rathdown",38427.00,57947.00,NA,2.10,20.20,31.30,5.50,23.80,17.10,4.30
"036 Dalkey Upper, Dún Laoghaire-Rathdown",46065.00,71780.00,0.70,2.40,28.30,26.10,4.60,25.60,12.40,1.70
"037 Dundrum-Balally, Dún Laoghaire-Rathdown",40302.00,46559.00,0.20,2.00,24.60,37.40,4.20,18.00,13.60,7.20
"038 Dundrum-Kilmacud, Dún Laoghaire-Rathdown",47890.00,50729.00,0.30,1.40,27.20,35.90,3.80,20.50,10.90,3.90
"039 Dundrum-Sandyford, Dún Laoghaire-Rathdown",39609.00,47302.00,0.20,1.80,26.90,30.10,4.90,21.40,14.60,5.70
"040 Dundrum-Sweetmount, Dún Laoghaire-Rathdown",47280.00,50051.00,0.50,3.40,24.20,29.40,3.90,25.90,12.70,2.90
"041 Dundrum-Taney, Dún Laoghaire-Rathdown",41541.00,50804.00,0.60,2.50,21.10,27.60,3.50,30.50,14.20,4.90
"042 Dún Laoghaire-East Central, Dún Laoghaire-Rathdown",34312.00,44592.00,NA,1.70,22.40,35.50,3.70,24.30,12.40,9.90
"043 Dún Laoghaire-Glasthule, Dún Laoghaire-Rathdown",37233.00,53030.00,0.10,2.20,25.30,32.20,3.30,25.60,11.30,5.70
"044 Dún Laoghaire-Glenageary, Dún Laoghaire-Rathdown",37288.00,61177.00,NA,2.90,21.70,29.30,5.60,27.90,12.60,6.20
"045 Dún Laoghaire-Monkstown Farm, Dún Laoghaire-Rathdown",32711.00,44269.00,0.10,3.70,20.70,21.60,7.60,30.00,16.20,10.00
"046 Dún Laoghaire-Mount Town, Dún Laoghaire-Rathdown",26084.00,42865.00,NA,2.80,23.00,21.20,7.00,26.40,19.70,17.20
"047 Dún Laoghaire-Sallynoggin East, Dún Laoghaire-Rathdown",33570.00,46349.00,0.10,2.70,21.40,23.30,6.60,27.40,18.50,11.30
"048 Dún Laoghaire-Sallynoggin South, Dún Laoghaire-Rathdown",31096.00,37664.00,1.00,6.00,18.80,19.60,8.00,26.10,20.50,11.30
"049 Dún Laoghaire-Sallynoggin West, Dún Laoghaire-Rathdown",32104.00,47013.00,0.40,2.40,22.50,27.90,6.80,24.00,16.00,12.70
"050 Dún Laoghaire-Sandycove, Dún Laoghaire-Rathdown",50872.00,58695.00,0.30,1.20,22.10,34.60,4.00,28.20,9.70,4.20
"051 Dún Laoghaire-Salthill, Dún Laoghaire-Rathdown",39477.00,46816.00,NA,1.20,22.40,36.40,2.10,28.10,9.70,7.00
"052 Dún Laoghaire-West Central, Dún Laoghaire-Rathdown",36294.00,50757.00,0.50,2.10,20.40,36.10,4.10,23.00,13.80,12.50
"053 Foxrock-Beechpark, Dún Laoghaire-Rathdown",48243.00,66999.00,0.70,2.00,29.70,21.40,5.70,26.60,13.90,1.70
"054 Foxrock-Carrickmines, Dún Laoghaire-Rathdown",46599.00,58404.00,0.30,2.30,28.60,29.20,4.30,21.00,14.50,2.10
"055 Foxrock-Deans Grange, Dún Laoghaire-Rathdown",43356.00,63960.00,0.40,1.60,26.00,30.90,5.70,24.00,11.40,2.40
"056 Foxrock-Torquay, Dún Laoghaire-Rathdown",53401.00,57236.00,0.60,3.10,26.90,28.80,5.70,22.40,12.50,2.40
"057 Glencullen, Dún Laoghaire-Rathdown",41636.00,51063.00,0.20,2.30,25.80,31.00,5.20,19.40,16.10,6.30
"058 Killiney North, Dún Laoghaire-Rathdown",38692.00,53506.00,0.40,2.60,22.10,30.30,4.60,26.70,13.30,3.10
"059 Killiney South, Dún Laoghaire-Rathdown",29254.00,40494.00,0.20,3.80,22.00,22.60,6.50,25.90,18.90,14.20
"060 Shankill-Rathmichael, Dún Laoghaire-Rathdown",34691.00,46516.00,0.50,4.00,21.10,27.20,6.30,23.70,17.30,10.80
"061 Shankill-Rathsallagh, Dún Laoghaire-Rathdown",30229.00,40082.00,0.50,3.50,21.50,23.70,7.00,27.30,16.40,10.80
"062 Shankill-Shanganagh, Dún Laoghaire-Rathdown",34150.00,45000.00,0.40,2.60,20.50,23.70,5.90,29.20,17.60,6.30
"063 Stillorgan-Deerpark, Dún Laoghaire-Rathdown",52019.00,69065.00,0.30,1.80,26.50,28.20,5.90,27.40,9.90,1.30
"064 Stillorgan-Kilmacud, Dún Laoghaire-Rathdown",45872.00,49298.00,0.40,2.00,22.90,31.70,3.80,28.50,10.70,3.70
"065 Stillorgan-Leopardstown, Dún Laoghaire-Rathdown",52356.00,56086.00,0.30,1.00,29.60,31.50,4.70,22.30,10.60,3.20
"066 Stillorgan-Merville, Dún Laoghaire-Rathdown",49657.00,59445.00,0.30,1.80,23.40,33.30,5.20,24.40,11.70,2.00
"067 Stillorgan-Mount Merrion, Dún Laoghaire-Rathdown",56693.00,57254.00,0.20,1.00,23.90,28.30,4.30,31.50,10.80,2.30
"068 Stillorgan-Priory, Dún Laoghaire-Rathdown",46342.00,56615.00,0.10,1.80,29.20,29.00,2.80,25.40,11.50,2.50
"069 Tibradden, Dún Laoghaire-Rathdown",41340.00,43360.00,0.20,6.20,18.00,23.70,5.00,30.60,16.20,6.60
"001 Athy East Urban, Co. Kildare",26298.00,35854.00,0.90,5.40,13.70,10.10,17.00,34.20,18.80,26.90
"002 Athy West Urban, Co. Kildare",25312.00,33337.00,1.50,8.40,12.50,7.80,18.10,30.60,21.30,35.80
"003 Naas Urban, Co. Kildare",31345.00,47423.00,0.40,3.70,17.00,16.00,11.90,30.00,21.00,8.10
"004 Athy Rural (Part Rural), Co. Kildare",27641.00,38912.00,2.40,4.80,13.50,10.50,15.50,31.40,21.90,21.20
"005 Ballaghmoon, Co. Kildare",36178.00,36446.00,12.40,11.60,21.00,10.90,7.10,21.60,15.40,9.00
"006 Ballitore, Co. Kildare",27206.00,38950.00,2.30,7.20,12.50,10.50,18.20,28.30,20.90,15.70
"007 Ballybrackan, Co. Kildare",31913.00,37918.00,10.40,7.80,12.40,8.40,16.70,27.90,16.40,17.60
"008 Ballyshannon, Co. Kildare",31349.00,50930.00,2.80,9.40,12.20,16.60,14.90,25.80,18.40,9.80
"009 Belan, Co. Kildare",30754.00,36483.00,11.00,5.40,19.70,12.00,11.50,21.20,19.30,9.40
"010 Bert, Co. Kildare",33606.00,35413.00,11.50,1.70,16.80,10.40,13.40,26.20,20.00,12.90
"011 Burtown, Co. Kildare",27540.00,35821.00,15.70,6.40,11.40,10.60,11.20,26.40,18.30,7.40
"012 Carrigeen, Co. Kildare",32237.00,42489.00,10.50,6.40,11.90,15.20,9.10,29.80,17.20,12.30
"013 Castledermot, Co. Kildare",24268.00,38594.00,3.40,8.70,12.10,10.80,12.10,28.10,24.90,16.30
"014 Churchtown, Co. Kildare",28511.00,43696.00,13.70,7.50,9.70,8.40,12.50,29.50,18.70,17.40
"015 Dunmanoge, Co. Kildare",26406.00,41488.00,6.70,8.00,11.90,14.10,12.60,29.80,16.90,12.90
"016 Fontstown, Co. Kildare",30629.00,39939.00,12.90,6.50,11.20,13.30,18.80,19.30,17.90,9.40
"017 Graney, Co. Kildare",25629.00,41429.00,8.70,9.70,11.50,13.60,14.90,18.60,22.90,12.10
"018 Grangemellon, Co. Kildare",32753.00,32303.00,14.00,8.20,12.30,9.00,14.30,26.20,16.00,18.80
"019 Harristown, Co. Kildare",29765.00,28811.00,23.90,10.70,6.20,9.10,12.90,22.00,15.20,10.70
"020 Inchaquire, Co. Kildare",27960.00,41400.00,10.40,9.50,15.10,9.10,13.70,14.20,28.10,9.20
"021 Johnstown, Co. Kildare",29742.00,31436.00,14.40,5.20,11.40,11.20,15.00,21.90,20.90,8.50
"022 Kilberry, Co. Kildare",28477.00,37862.00,10.00,6.50,9.80,11.90,25.90,24.40,11.40,21.10
"023 Kildangan, Co. Kildare",35359.00,53618.00,9.90,5.50,8.20,17.40,10.00,27.30,21.60,9.70
"024 Kilkea, Co. Kildare",31372.00,33770.00,14.30,11.70,11.50,11.10,11.30,18.80,21.40,13.20
"025 Kilrush, Co. Kildare",32371.00,43170.00,8.70,6.20,9.80,15.80,10.40,30.00,19.00,3.00
"026 Lackagh, Co. Kildare",27971.00,40334.00,4.90,5.90,11.90,13.60,13.80,31.50,18.30,12.00
"027 Monasterevin, Co. Kildare",26986.00,37098.00,2.90,5.40,11.90,10.60,13.90,30.70,24.50,20.80
"028 Moone, Co. Kildare",30057.00,42119.00,9.50,8.30,10.70,11.40,10.30,32.80,17.00,9.30
"029 Narraghmore, Co. Kildare",32455.00,48301.00,6.10,7.90,13.60,14.50,9.90,28.80,19.20,9.70
"030 Nurney, Co. Kildare",29253.00,36747.00,3.90,5.60,12.70,12.10,11.00,28.40,26.20,14.20
"031 Quinsborough, Co. Kildare",25564.00,39452.00,12.90,4.70,9.20,5.70,15.70,33.40,18.50,13.50
"032 Skerries, Co. Kildare",31796.00,36318.00,7.70,9.40,12.00,15.80,12.20,30.50,12.40,22.40
"033 Balraheen, Co. Kildare",36558.00,50579.00,2.50,5.90,14.60,19.00,8.90,34.30,14.90,7.90
"034 Celbridge, Co. Kildare",33468.00,41309.00,0.40,4.70,17.80,16.20,11.30,30.20,19.50,8.70
"035 Cloncurry, Co. Kildare",31757.00,44362.00,3.50,9.20,11.40,12.50,9.90,32.80,20.60,4.30
"036 Donadea, Co. Kildare",31243.00,46133.00,3.70,7.90,13.00,18.60,9.40,28.60,18.80,4.30
"037 Donaghcumper, Co. Kildare",34995.00,43689.00,0.70,4.90,18.80,16.40,10.50,28.30,20.40,7.10
"038 Kilcock, Co. Kildare",29620.00,41720.00,0.70,6.00,15.00,16.00,10.40,30.30,21.80,8.80
"039 Leixlip, Co. Kildare",33811.00,41227.00,0.30,5.20,20.30,17.10,10.30,30.30,16.50,7.60
"040 Maynooth, Co. Kildare",35365.00,46524.00,0.60,4.20,18.60,18.10,11.00,31.50,16.10,6.20
"041 Straffan, Co. Kildare",36800.00,53325.00,4.40,7.40,15.50,18.80,12.30,23.40,18.10,4.00
"042 Ballynadrumny, Co. Kildare",26770.00,38500.00,8.10,9.00,11.40,12.50,16.30,16.90,25.80,10.90
"043 Cadamstown, Co. Kildare",28975.00,43304.00,2.70,7.80,12.60,14.00,15.90,28.60,18.40,7.20
"044 Carbury, Co. Kildare",24273.00,39759.00,6.50,8.00,15.40,6.80,16.70,26.60,19.80,16.80
"045 Carrick, Co. Kildare",28627.00,38994.00,8.60,6.80,12.90,8.80,17.10,29.00,16.80,10.80
"046 Cloncurry, Co. Kildare",31262.00,50759.00,7.10,5.80,8.30,10.40,15.80,34.80,17.90,6.30
"047 Drehid, Co. Kildare",33112.00,37747.00,10.00,14.50,8.30,10.40,5.40,28.70,22.60,8.40
"048 Dunfierth, Co. Kildare",31359.00,43407.00,3.90,8.80,16.60,15.40,12.30,28.70,14.30,10.70
"049 Killinthomas, Co. Kildare",32274.00,45683.00,4.60,12.20,12.40,8.80,18.90,22.90,20.30,7.80
"050 Kilpatrick, Co. Kildare",25333.00,34793.00,3.90,11.10,11.40,7.60,23.30,19.80,22.90,11.50
"051 Kilrainy, Co. Kildare",27120.00,40264.00,5.10,9.50,8.40,11.50,17.80,25.40,22.30,11.40
"052 Lullymore, Co. Kildare",31076.00,40789.00,8.20,7.30,10.30,8.10,12.80,32.30,21.00,9.70
"053 Rathangan, Co. Kildare",25797.00,34832.00,2.70,8.10,12.30,11.80,14.70,28.20,22.30,15.80
"054 Thomastown, Co. Kildare",25212.00,41590.00,5.50,6.90,12.40,16.10,11.30,26.80,20.90,6.10
"055 Windmill Cross, Co. Kildare",23372.00,37429.00,4.10,7.50,12.70,8.20,19.60,22.40,25.60,15.50
