ED,Median earned income per commuter travelling less than 30 minutes (Euro) by Electoral Division and Year,Median earned income per commuter travelling greater than 30 minutes,"Agriculture, Forestry and Fishing (A) (%)",Construction (F) (%),"Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)",Proportion of households working age social welfare was majority of household income (%) by Electoral Division and Year
"102 Crumlin E, Dublin City",28998.00,34145.00,0.60,5.10,16.20,15.00,10.20,32.70,20.10,18.00
"103 Crumlin F, Dublin City",33625.00,35402.00,0.60,2.70,16.70,14.30,7.30,38.40,19.90,9.80
"104 Decies, Dublin City",25576.00,29890.00,0.80,4.30,14.70,11.10,5.60,37.70,25.70,23.60
"105 Drumfinn, Dublin City",25524.00,28792.00,0.60,5.50,16.20,9.50,8.50,29.10,30.50,23.20
"106 Inchicore A, Dublin City",33674.00,34482.00,NA,3.20,15.50,23.40,7.30,32.70,18.00,13.60
"107 Inchicore B, Dublin City",28248.00,27340.00,NA,7.10,19.10,13.70,6.90,23.70,29.50,26.40
"108 Kilmainham A, Dublin City",28419.00,29692.00,0.80,3.70,17.10,14.20,7.20,32.80,24.20,20.60
"109 Kilmainham B, Dublin City",43123.00,39180.00,0.10,1.50,19.80,26.40,5.30,33.50,13.50,11.00
"110 Kilmainham C, Dublin City",32968.00,34518.00,0.10,2.70,20.40,24.30,4.90,30.90,16.80,19.30
"111 Kimmage A, Dublin City",28800.00,28009.00,NA,6.80,19.00,14.40,6.00,32.30,21.50,20.30
"112 Kimmage B, Dublin City",29815.00,32661.00,0.10,4.00,17.20,16.20,7.90,31.30,23.40,16.30
"113 Kimmage C, Dublin City",38623.00,39562.00,0.40,2.90,25.80,27.70,3.10,29.60,10.40,9.80
"114 Kimmage D, Dublin City",33235.00,35058.00,0.70,4.00,22.30,22.60,5.50,29.10,15.90,13.50
"115 Kimmage E, Dublin City",33812.00,34696.00,0.20,3.60,21.60,18.80,6.10,30.00,19.60,15.60
"116 Kylemore, Dublin City",27207.00,27312.00,NA,6.40,15.70,7.70,9.70,27.80,32.70,24.30
"117 Mansion House A, Dublin City",34283.00,33770.00,0.40,1.90,22.70,40.90,3.10,17.30,13.80,22.50
"118 Mansion House B, Dublin City",44193.00,48702.00,NA,0.50,23.80,35.00,4.70,20.70,15.40,4.70
"119 Merchants Quay A, Dublin City",28091.00,28456.00,NA,2.10,22.50,30.30,3.60,20.20,21.20,25.50
"120 Merchants Quay B, Dublin City",30324.00,32704.00,NA,2.10,21.90,32.20,2.40,22.60,18.80,10.40
"121 Merchants Quay C, Dublin City",29750.00,31037.00,0.40,1.90,21.50,32.80,2.70,22.10,18.50,17.80
"122 Merchants Quay D, Dublin City",37893.00,43059.00,NA,2.00,17.90,34.20,3.20,30.50,12.20,7.30
"123 Merchants Quay E, Dublin City",38130.00,35214.00,0.80,1.50,19.40,34.30,5.10,24.10,14.70,10.80
"124 Merchants Quay F, Dublin City",30015.00,29811.00,NA,3.30,22.90,25.10,4.00,25.90,18.80,19.90
"125 Pembroke East A, Dublin City",39880.00,35782.00,NA,2.80,24.50,37.10,3.70,18.50,13.50,13.80
"126 Pembroke East B, Dublin City",52672.00,51189.00,0.30,1.70,24.10,33.30,4.70,26.90,9.10,2.60
"127 Pembroke East C, Dublin City",55302.00,52980.00,0.20,0.80,26.00,34.50,3.30,26.90,8.40,2.40
"128 Pembroke East D, Dublin City",49368.00,45892.00,0.30,0.90,22.30,32.30,2.90,29.60,11.70,5.60
"129 Pembroke East E, Dublin City",56066.00,53371.00,0.30,1.70,27.20,37.70,3.30,22.10,7.60,1.10
"130 Pembroke West A, Dublin City",54674.00,49700.00,0.20,1.00,24.30,48.50,3.30,15.80,7.00,3.90
"131 Pembroke West B, Dublin City",58470.00,62886.00,0.40,1.80,25.30,41.90,3.40,19.70,7.60,3.80
"132 Pembroke West C, Dublin City",50928.00,44793.00,0.20,0.60,26.40,43.40,2.10,19.30,8.00,3.70
"133 Rathfarnham, Dublin City",48289.00,48591.00,0.20,1.40,22.60,27.80,3.70,33.90,10.40,3.70
"134 Rathmines East A, Dublin City",48777.00,46612.00,0.20,0.60,27.00,36.60,3.00,22.40,10.20,5.70
"135 Rathmines East B, Dublin City",56057.00,51383.00,0.20,1.00,26.30,38.20,3.70,22.20,8.40,2.90
"136 Rathmines East C, Dublin City",53927.00,48000.00,0.40,1.30,24.00,35.50,4.00,26.90,7.80,2.90
"137 Rathmines East D, Dublin City",46062.00,42254.00,0.30,1.00,23.40,37.50,3.50,24.40,9.80,4.80
"138 Rathmines West A, Dublin City",37753.00,37449.00,0.20,1.10,24.20,34.70,3.40,23.70,12.70,10.50
"139 Rathmines West B, Dublin City",37457.00,37675.00,0.20,1.40,25.50,36.60,3.20,21.30,11.90,10.50
"140 Rathmines West C, Dublin City",43623.00,41697.00,0.40,1.50,21.80,36.60,3.70,25.10,10.90,5.70
"141 Rathmines West D, Dublin City",40790.00,39996.00,0.10,1.70,23.00,31.80,2.50,29.30,11.60,9.10
"142 Rathmines West E, Dublin City",44278.00,42548.00,0.30,1.80,22.70,31.00,4.50,29.70,10.10,7.20
"143 Rathmines West F, Dublin City",39566.00,37010.00,0.40,1.30,21.20,36.70,3.20,27.00,10.20,10.10
"144 Royal Exchange A, Dublin City",36567.00,37587.00,0.50,0.90,20.10,39.30,3.50,21.00,14.70,13.20
"145 Royal Exchange B, Dublin City",24939.00,25218.00,1.60,3.60,24.50,30.40,3.60,18.20,18.10,27.20
"146 St. Kevin's, Dublin City",38769.00,35712.00,0.30,1.10,22.80,41.10,2.50,19.60,12.60,9.80
